index,true,predictions
69,"['10.1021/np4006822', 'Antileishmanial']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
70,"['10.1021/np4006822', 'Inhibition of Acetylcholinesterase']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
71,"['10.1021/np500453x', 'Inhibition of Cathepsin B']","['Antichagasic', 'Antileishmanial', 'Antitrypanosomal', 'Anti-inflamatory', 'Antiallergenic']"
72,"['10.1021/np500453x', 'Antimalarial']","['Antichagasic', 'Antileishmanial', 'Antitrypanosomal', 'Anti-inflamatory', 'Antiallergenic']"
73,"['10.1021/np500453x', 'Anticancer']","['Antichagasic', 'Antileishmanial', 'Antitrypanosomal', 'Anti-inflamatory', 'Antiallergenic']"
74,"['10.1021/np500453x', 'Inhibition of Cathepsin L']","['Antichagasic', 'Antileishmanial', 'Antitrypanosomal', 'Anti-inflamatory', 'Antiallergenic']"
75,"['10.1021/np50086a012', 'Molluscicidal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
77,"['10.1021/np800612x', 'Antiangiogenic']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
79,"['10.1021/np800612x', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
98,"['10.1248/cpb.56.723', 'Inhibition of Glycosidase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral', 'Antibacterial']"
99,"['10.1248/cpb.56.723', 'Inhibition of Myeloperoxodase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral', 'Antibacterial']"
101,"['10.1515/znc-2002-5-602', 'Insecticidal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
104,"['10.1515/znc-2008-5-611', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of phosphorylating electron transport', 'Inhibition of Myeloperoxodase', 'Inhibition of ATP synthesis', 'Inhibition of basal electron transport']"
105,"['10.1515/znc-2009-11-1212', 'Inhibition of Acetylcholinesterase']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial', 'Anticancer']"
109,"['10.1590/S0100-40422002000300002', 'Cytotoxic']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial', 'Anticancer']"
115,"['10.1590/S0100-40422008000400018', 'Inhibition of Myeloperoxodase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral', 'Antibacterial']"
120,"['10.1590/S0100-40422010001000006', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
121,"['10.1590/S0100-40422012000700020', 'Inhibition of Acetylcholinesterase']","['Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport', 'Inhibition of uncoupled electron transport', 'Inhibition of Glycosidase']"
124,"['10.1590/S0102-695X2009000100002', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of phosphorylating electron transport', 'Inhibition of Myeloperoxodase', 'Inhibition of ATP synthesis', 'Inhibition of basal electron transport']"
126,"['10.1590/S0102-695X2010005000017', 'Antiangiogenic']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial', 'Anticancer']"
127,"['10.1590/S0102-695X2010005000017', 'Cytotoxic']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial', 'Anticancer']"
129,"['10.1590/S0102-695X2012005000106', 'Antileishmanial']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
131,"['10.1590/S0103-50532002000100010', 'Antitrypanosomal']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial', 'Anticancer']"
134,"['10.1590/S0103-50532003000300007', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Inhibition of Myeloperoxodase', 'Inhibition of Protease']"
136,"['10.1590/S0103-50532005000300018', 'Inhibition of Acetylcholinesterase']","['Antitrypanosomal', 'Antimalarial', 'Antileishmanial', 'Antichagasic', 'Antifungal']"
137,"['10.1590/S0103-50532005000400031', 'Insecticidal']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial', 'Anticancer']"
139,"['10.1590/S0103-50532005000800025', 'Inhibition of Acetylcholinesterase']","['Insecticidal', 'Molluscicidal', 'Antibacterial', 'Antifungal', 'Antimalarial']"
142,"['10.1590/S0103-50532005000800029', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
144,"['10.1590/S0103-50532007000700017', 'Antioxidant']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial', 'Anticancer']"
152,"['10.2174/187152010794728620', 'Cell growth inhbition']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
155,"['10.3390/molecules190812031', 'Insecticidal']","['Antileishmanial', 'Antimalarial', 'Antitrypanosomal', 'Antichagasic', 'Antifungal']"
156,"['10.4067/S0717-97072009000300004', 'Inhibition of Glycosidase']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
158,"['10.5935/0103-5053.19930018', 'Antitrypanosomal']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral', 'Antibacterial']"
159,"['10.5935/0103-5053.19960024', 'Antifungal']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral', 'Antibacterial']"
