index,true,predictions
131,"['10.1590/S0103-50532002000100010', 'Antitrypanosomal']",['Antifungal']
134,"['10.1590/S0103-50532003000300007', 'Antitrypanosomal']",['Inhibition of Glycosidase']
136,"['10.1590/S0103-50532005000300018', 'Inhibition of Acetylcholinesterase']",['Antitrypanosomal']
137,"['10.1590/S0103-50532005000400031', 'Insecticidal']",['Antifungal']
139,"['10.1590/S0103-50532005000800025', 'Inhibition of Acetylcholinesterase']",['Insecticidal']
140,"['10.1590/S0103-50532005000800025', 'Antifungal']",['Insecticidal']
142,"['10.1590/S0103-50532005000800029', 'Antifungal']",['Cytotoxic']
144,"['10.1590/S0103-50532007000700017', 'Antioxidant']",['Antifungal']
147,"['10.1590/S0103-50532009000400008', 'Antileishmanial']",['Antimalarial']
149,"['10.1590/S0103-50532009000400008', 'Antitrypanosomal']",['Antimalarial']
152,"['10.2174/187152010794728620', 'Cell growth inhbition']",['Cytotoxic']
155,"['10.3390/molecules190812031', 'Insecticidal']",['Antileishmanial']
156,"['10.4067/S0717-97072009000300004', 'Inhibition of Glycosidase']",['Cytotoxic']
158,"['10.5935/0103-5053.19930018', 'Antitrypanosomal']",['Antioxidant']
159,"['10.5935/0103-5053.19960024', 'Antifungal']",['Antioxidant']
6,"['10.1016/0031-9422(73)85048-4', 'Antitrypanosomal']","['Antifungal', 'Antiviral']"
11,"['10.1016/j.biortech.2010.01.041', 'Antiviral']","['Inhibition of Protease', 'Inhibition of Glycosidase']"
14,"['10.1016/j.cbi.2010.08.008', 'Anticancer']","['Cytotoxic', 'Genotoxic']"
18,"['10.1016/j.jep.2007.09.020', 'Antileishmanial']","['Antioxidant', 'Anticancer']"
19,"['10.1016/j.jfca.2003.09.013', 'Inhibition of Glycosidase']","['Antioxidant', 'Anticancer']"
20,"['10.1016/j.jpba.2012.08.028', 'Antitrypanosomal']","['Cytotoxic', 'Genotoxic']"
21,"['10.1016/j.jphotobiol.2013.01.006', 'Inhibition of uncoupled electron transport']","['Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport']"
22,"['10.1016/j.jphotobiol.2013.01.006', 'Inhibition of basal electron transport']","['Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport']"
26,"['10.1016/j.phytochem.2006.06.004', 'Antifungal']","['Cytotoxic', 'Genotoxic']"
28,"['10.1016/j.phytochem.2006.09.005', 'Antifungal']","['Cytotoxic', 'Genotoxic']"
29,"['10.1016/j.phytochem.2008.01.006', 'Inhibition of Glycosidase']","['Antioxidant', 'Anticancer']"
30,"['10.1016/j.phytochem.2008.01.006', 'Antifungal']","['Antioxidant', 'Anticancer']"
33,"['10.1016/j.tiv.2008.01.003', 'Anticancer']","['Cytotoxic', 'Genotoxic']"
35,"['10.1016/S0031-9422(00)00225-9', 'Antifungal']","['Antibacterial', 'Antiviral']"
37,"['10.1016/S0031-9422(00)00248-X', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of Myeloperoxodase']"
39,"['10.1016/S0031-9422(01)00079-6', 'Cytotoxic']","['Antifungal', 'Antiviral']"
44,"['10.1016/S0031-9422(97)00238-0', 'Antioxidant']","['Antifungal', 'Antiviral']"
45,"['10.1016/S0031-9422(97)00598-0', 'Antitrypanosomal']","['Antioxidant', 'Anticancer']"
46,"['10.1016/S0031-9422(98)00069-7', 'Inhibition of Glycosidase']","['Antifungal', 'Antiviral']"
49,"['10.1016/S0031-9422(99)00132-6', 'Antifungal']","['Cytotoxic', 'Genotoxic']"
50,"['10.1016/S0031-9422(99)00132-6', 'Anticancer']","['Cytotoxic', 'Genotoxic']"
52,"['10.1021/jf00030a035', 'Anticancer']","['Cytotoxic', 'Genotoxic']"
55,"['10.1021/jf063451x', 'Anti-inflamatory']","['Antioxidant', 'Anticancer']"
57,"['10.1021/jf60217a066', 'Insect antennae response']","['Anesthetic', 'Antinociceptive']"
60,"['10.1021/np0303963', 'Cytotoxic']","['Genotoxic', 'Mutagenic']"
66,"['10.1021/np1007476', 'Inhibition of Acetylcholinesterase']","['Antioxidant', 'Anticancer']"
69,"['10.1021/np4006822', 'Antileishmanial']","['Cytotoxic', 'Genotoxic']"
70,"['10.1021/np4006822', 'Inhibition of Acetylcholinesterase']","['Cytotoxic', 'Genotoxic']"
71,"['10.1021/np500453x', 'Inhibition of Cathepsin B']","['Antichagasic', 'Antileishmanial']"
72,"['10.1021/np500453x', 'Antimalarial']","['Antichagasic', 'Antileishmanial']"
73,"['10.1021/np500453x', 'Anticancer']","['Antichagasic', 'Antileishmanial']"
74,"['10.1021/np500453x', 'Inhibition of Cathepsin L']","['Antichagasic', 'Antileishmanial']"
75,"['10.1021/np50086a012', 'Molluscicidal']","['Cytotoxic', 'Genotoxic']"
77,"['10.1021/np800612x', 'Antiangiogenic']","['Cytotoxic', 'Genotoxic']"
79,"['10.1021/np800612x', 'Antifungal']","['Cytotoxic', 'Genotoxic']"
85,"['10.1055/s-0034-1368301', 'Anticancer']","['Cytotoxic', 'Genotoxic']"
86,"['10.1055/s-2002-36346', 'Antibacterial']","['Antioxidant', 'Anticancer']"
87,"['10.1080/14786410600907002', 'Anticancer']","['Cytotoxic', 'Genotoxic']"
89,"['10.1080/14786410903335232', 'Anticancer']","['Cytotoxic', 'Genotoxic']"
91,"['10.1093/mutage/gep034', 'Cytotoxic']","['Genotoxic', 'Mutagenic']"
98,"['10.1248/cpb.56.723', 'Inhibition of Glycosidase']","['Antioxidant', 'Anticancer']"
99,"['10.1248/cpb.56.723', 'Inhibition of Myeloperoxodase']","['Antioxidant', 'Anticancer']"
101,"['10.1515/znc-2002-5-602', 'Insecticidal']","['Cytotoxic', 'Genotoxic']"
102,"['10.1515/znc-2002-5-602', 'Anticancer']","['Cytotoxic', 'Genotoxic']"
104,"['10.1515/znc-2008-5-611', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of phosphorylating electron transport']"
105,"['10.1515/znc-2009-11-1212', 'Inhibition of Acetylcholinesterase']","['Antifungal', 'Antiviral']"
109,"['10.1590/S0100-40422002000300002', 'Cytotoxic']","['Antifungal', 'Antiviral']"
115,"['10.1590/S0100-40422008000400018', 'Inhibition of Myeloperoxodase']","['Antioxidant', 'Anticancer']"
120,"['10.1590/S0100-40422010001000006', 'Antifungal']","['Cytotoxic', 'Genotoxic']"
121,"['10.1590/S0100-40422012000700020', 'Inhibition of Acetylcholinesterase']","['Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport']"
124,"['10.1590/S0102-695X2009000100002', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of phosphorylating electron transport']"
126,"['10.1590/S0102-695X2010005000017', 'Antiangiogenic']","['Antifungal', 'Antiviral']"
127,"['10.1590/S0102-695X2010005000017', 'Cytotoxic']","['Antifungal', 'Antiviral']"
129,"['10.1590/S0102-695X2012005000106', 'Antileishmanial']","['Cytotoxic', 'Genotoxic']"
131,"['10.1590/S0103-50532002000100010', 'Antitrypanosomal']","['Antifungal', 'Antiviral']"
134,"['10.1590/S0103-50532003000300007', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of phosphorylating electron transport']"
136,"['10.1590/S0103-50532005000300018', 'Inhibition of Acetylcholinesterase']","['Antitrypanosomal', 'Antimalarial']"
137,"['10.1590/S0103-50532005000400031', 'Insecticidal']","['Antifungal', 'Antiviral']"
139,"['10.1590/S0103-50532005000800025', 'Inhibition of Acetylcholinesterase']","['Insecticidal', 'Molluscicidal']"
140,"['10.1590/S0103-50532005000800025', 'Antifungal']","['Insecticidal', 'Molluscicidal']"
142,"['10.1590/S0103-50532005000800029', 'Antifungal']","['Cytotoxic', 'Genotoxic']"
144,"['10.1590/S0103-50532007000700017', 'Antioxidant']","['Antifungal', 'Antiviral']"
147,"['10.1590/S0103-50532009000400008', 'Antileishmanial']","['Antimalarial', 'Antitrypanosomal']"
152,"['10.2174/187152010794728620', 'Cell growth inhbition']","['Cytotoxic', 'Genotoxic']"
155,"['10.3390/molecules190812031', 'Insecticidal']","['Antileishmanial', 'Antimalarial']"
156,"['10.4067/S0717-97072009000300004', 'Inhibition of Glycosidase']","['Cytotoxic', 'Genotoxic']"
158,"['10.5935/0103-5053.19930018', 'Antitrypanosomal']","['Antioxidant', 'Anticancer']"
159,"['10.5935/0103-5053.19960024', 'Antifungal']","['Antioxidant', 'Anticancer']"
6,"['10.1016/0031-9422(73)85048-4', 'Antitrypanosomal']","['Antifungal', 'Antiviral', 'Antibacterial']"
11,"['10.1016/j.biortech.2010.01.041', 'Antiviral']","['Inhibition of Protease', 'Inhibition of Glycosidase', 'Inhibition of Cathepsin B']"
14,"['10.1016/j.cbi.2010.08.008', 'Anticancer']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
18,"['10.1016/j.jep.2007.09.020', 'Antileishmanial']","['Antioxidant', 'Anticancer', 'Anti-inflamatory']"
19,"['10.1016/j.jfca.2003.09.013', 'Inhibition of Glycosidase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory']"
20,"['10.1016/j.jpba.2012.08.028', 'Antitrypanosomal']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
21,"['10.1016/j.jphotobiol.2013.01.006', 'Inhibition of uncoupled electron transport']","['Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport']"
26,"['10.1016/j.phytochem.2006.06.004', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
28,"['10.1016/j.phytochem.2006.09.005', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
29,"['10.1016/j.phytochem.2008.01.006', 'Inhibition of Glycosidase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory']"
30,"['10.1016/j.phytochem.2008.01.006', 'Antifungal']","['Antioxidant', 'Anticancer', 'Anti-inflamatory']"
33,"['10.1016/j.tiv.2008.01.003', 'Anticancer']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
37,"['10.1016/S0031-9422(00)00248-X', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of Myeloperoxodase', 'Inhibition of phosphorylating electron transport']"
39,"['10.1016/S0031-9422(01)00079-6', 'Cytotoxic']","['Antifungal', 'Antiviral', 'Antibacterial']"
44,"['10.1016/S0031-9422(97)00238-0', 'Antioxidant']","['Antifungal', 'Antiviral', 'Antibacterial']"
45,"['10.1016/S0031-9422(97)00598-0', 'Antitrypanosomal']","['Antioxidant', 'Anticancer', 'Anti-inflamatory']"
46,"['10.1016/S0031-9422(98)00069-7', 'Inhibition of Glycosidase']","['Antifungal', 'Antiviral', 'Antibacterial']"
49,"['10.1016/S0031-9422(99)00132-6', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
50,"['10.1016/S0031-9422(99)00132-6', 'Anticancer']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
52,"['10.1021/jf00030a035', 'Anticancer']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
57,"['10.1021/jf60217a066', 'Insect antennae response']","['Anesthetic', 'Antinociceptive', 'Anxiolytic']"
66,"['10.1021/np1007476', 'Inhibition of Acetylcholinesterase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory']"
69,"['10.1021/np4006822', 'Antileishmanial']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
70,"['10.1021/np4006822', 'Inhibition of Acetylcholinesterase']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
71,"['10.1021/np500453x', 'Inhibition of Cathepsin B']","['Antichagasic', 'Antileishmanial', 'Antitrypanosomal']"
72,"['10.1021/np500453x', 'Antimalarial']","['Antichagasic', 'Antileishmanial', 'Antitrypanosomal']"
73,"['10.1021/np500453x', 'Anticancer']","['Antichagasic', 'Antileishmanial', 'Antitrypanosomal']"
74,"['10.1021/np500453x', 'Inhibition of Cathepsin L']","['Antichagasic', 'Antileishmanial', 'Antitrypanosomal']"
75,"['10.1021/np50086a012', 'Molluscicidal']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
77,"['10.1021/np800612x', 'Antiangiogenic']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
79,"['10.1021/np800612x', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
85,"['10.1055/s-0034-1368301', 'Anticancer']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
86,"['10.1055/s-2002-36346', 'Antibacterial']","['Antioxidant', 'Anticancer', 'Anti-inflamatory']"
87,"['10.1080/14786410600907002', 'Anticancer']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
89,"['10.1080/14786410903335232', 'Anticancer']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
98,"['10.1248/cpb.56.723', 'Inhibition of Glycosidase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory']"
99,"['10.1248/cpb.56.723', 'Inhibition of Myeloperoxodase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory']"
101,"['10.1515/znc-2002-5-602', 'Insecticidal']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
102,"['10.1515/znc-2002-5-602', 'Anticancer']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
104,"['10.1515/znc-2008-5-611', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of phosphorylating electron transport', 'Inhibition of Myeloperoxodase']"
105,"['10.1515/znc-2009-11-1212', 'Inhibition of Acetylcholinesterase']","['Antifungal', 'Antiviral', 'Antibacterial']"
109,"['10.1590/S0100-40422002000300002', 'Cytotoxic']","['Antifungal', 'Antiviral', 'Antibacterial']"
115,"['10.1590/S0100-40422008000400018', 'Inhibition of Myeloperoxodase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory']"
120,"['10.1590/S0100-40422010001000006', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
121,"['10.1590/S0100-40422012000700020', 'Inhibition of Acetylcholinesterase']","['Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport']"
124,"['10.1590/S0102-695X2009000100002', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of phosphorylating electron transport', 'Inhibition of Myeloperoxodase']"
126,"['10.1590/S0102-695X2010005000017', 'Antiangiogenic']","['Antifungal', 'Antiviral', 'Antibacterial']"
127,"['10.1590/S0102-695X2010005000017', 'Cytotoxic']","['Antifungal', 'Antiviral', 'Antibacterial']"
129,"['10.1590/S0102-695X2012005000106', 'Antileishmanial']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
131,"['10.1590/S0103-50532002000100010', 'Antitrypanosomal']","['Antifungal', 'Antiviral', 'Antibacterial']"
134,"['10.1590/S0103-50532003000300007', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']"
136,"['10.1590/S0103-50532005000300018', 'Inhibition of Acetylcholinesterase']","['Antitrypanosomal', 'Antimalarial', 'Antileishmanial']"
137,"['10.1590/S0103-50532005000400031', 'Insecticidal']","['Antifungal', 'Antiviral', 'Antibacterial']"
139,"['10.1590/S0103-50532005000800025', 'Inhibition of Acetylcholinesterase']","['Insecticidal', 'Molluscicidal', 'Antibacterial']"
140,"['10.1590/S0103-50532005000800025', 'Antifungal']","['Insecticidal', 'Molluscicidal', 'Antibacterial']"
142,"['10.1590/S0103-50532005000800029', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
144,"['10.1590/S0103-50532007000700017', 'Antioxidant']","['Antifungal', 'Antiviral', 'Antibacterial']"
152,"['10.2174/187152010794728620', 'Cell growth inhbition']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
155,"['10.3390/molecules190812031', 'Insecticidal']","['Antileishmanial', 'Antimalarial', 'Antitrypanosomal']"
156,"['10.4067/S0717-97072009000300004', 'Inhibition of Glycosidase']","['Cytotoxic', 'Genotoxic', 'Mutagenic']"
158,"['10.5935/0103-5053.19930018', 'Antitrypanosomal']","['Antioxidant', 'Anticancer', 'Anti-inflamatory']"
159,"['10.5935/0103-5053.19960024', 'Antifungal']","['Antioxidant', 'Anticancer', 'Anti-inflamatory']"
6,"['10.1016/0031-9422(73)85048-4', 'Antitrypanosomal']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial']"
11,"['10.1016/j.biortech.2010.01.041', 'Antiviral']","['Inhibition of Protease', 'Inhibition of Glycosidase', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L']"
18,"['10.1016/j.jep.2007.09.020', 'Antileishmanial']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral']"
19,"['10.1016/j.jfca.2003.09.013', 'Inhibition of Glycosidase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral']"
20,"['10.1016/j.jpba.2012.08.028', 'Antitrypanosomal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer']"
26,"['10.1016/j.phytochem.2006.06.004', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer']"
28,"['10.1016/j.phytochem.2006.09.005', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer']"
29,"['10.1016/j.phytochem.2008.01.006', 'Inhibition of Glycosidase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral']"
30,"['10.1016/j.phytochem.2008.01.006', 'Antifungal']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral']"
37,"['10.1016/S0031-9422(00)00248-X', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of Myeloperoxodase', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']"
39,"['10.1016/S0031-9422(01)00079-6', 'Cytotoxic']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial']"
44,"['10.1016/S0031-9422(97)00238-0', 'Antioxidant']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial']"
45,"['10.1016/S0031-9422(97)00598-0', 'Antitrypanosomal']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral']"
46,"['10.1016/S0031-9422(98)00069-7', 'Inhibition of Glycosidase']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial']"
49,"['10.1016/S0031-9422(99)00132-6', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer']"
57,"['10.1021/jf60217a066', 'Insect antennae response']","['Anesthetic', 'Antinociceptive', 'Anxiolytic', 'Antichagasic']"
66,"['10.1021/np1007476', 'Inhibition of Acetylcholinesterase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral']"
69,"['10.1021/np4006822', 'Antileishmanial']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer']"
70,"['10.1021/np4006822', 'Inhibition of Acetylcholinesterase']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer']"
71,"['10.1021/np500453x', 'Inhibition of Cathepsin B']","['Antichagasic', 'Antileishmanial', 'Antitrypanosomal', 'Anti-inflamatory']"
72,"['10.1021/np500453x', 'Antimalarial']","['Antichagasic', 'Antileishmanial', 'Antitrypanosomal', 'Anti-inflamatory']"
73,"['10.1021/np500453x', 'Anticancer']","['Antichagasic', 'Antileishmanial', 'Antitrypanosomal', 'Anti-inflamatory']"
74,"['10.1021/np500453x', 'Inhibition of Cathepsin L']","['Antichagasic', 'Antileishmanial', 'Antitrypanosomal', 'Anti-inflamatory']"
75,"['10.1021/np50086a012', 'Molluscicidal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer']"
77,"['10.1021/np800612x', 'Antiangiogenic']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer']"
79,"['10.1021/np800612x', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer']"
86,"['10.1055/s-2002-36346', 'Antibacterial']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral']"
98,"['10.1248/cpb.56.723', 'Inhibition of Glycosidase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral']"
99,"['10.1248/cpb.56.723', 'Inhibition of Myeloperoxodase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral']"
101,"['10.1515/znc-2002-5-602', 'Insecticidal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer']"
104,"['10.1515/znc-2008-5-611', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of phosphorylating electron transport', 'Inhibition of Myeloperoxodase', 'Inhibition of ATP synthesis']"
105,"['10.1515/znc-2009-11-1212', 'Inhibition of Acetylcholinesterase']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial']"
109,"['10.1590/S0100-40422002000300002', 'Cytotoxic']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial']"
115,"['10.1590/S0100-40422008000400018', 'Inhibition of Myeloperoxodase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral']"
120,"['10.1590/S0100-40422010001000006', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer']"
121,"['10.1590/S0100-40422012000700020', 'Inhibition of Acetylcholinesterase']","['Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport', 'Inhibition of uncoupled electron transport']"
124,"['10.1590/S0102-695X2009000100002', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of phosphorylating electron transport', 'Inhibition of Myeloperoxodase', 'Inhibition of ATP synthesis']"
126,"['10.1590/S0102-695X2010005000017', 'Antiangiogenic']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial']"
127,"['10.1590/S0102-695X2010005000017', 'Cytotoxic']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial']"
129,"['10.1590/S0102-695X2012005000106', 'Antileishmanial']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer']"
131,"['10.1590/S0103-50532002000100010', 'Antitrypanosomal']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial']"
134,"['10.1590/S0103-50532003000300007', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Inhibition of Myeloperoxodase']"
136,"['10.1590/S0103-50532005000300018', 'Inhibition of Acetylcholinesterase']","['Antitrypanosomal', 'Antimalarial', 'Antileishmanial', 'Antichagasic']"
137,"['10.1590/S0103-50532005000400031', 'Insecticidal']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial']"
139,"['10.1590/S0103-50532005000800025', 'Inhibition of Acetylcholinesterase']","['Insecticidal', 'Molluscicidal', 'Antibacterial', 'Antifungal']"
142,"['10.1590/S0103-50532005000800029', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer']"
144,"['10.1590/S0103-50532007000700017', 'Antioxidant']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial']"
