doi,assistant_reply
10.1021/np900644x,"[{""collectionSite"": ""Araraquara/SP""}]"
10.1021/np9703656,"[{""collectionSite"": ""Teodoro Sampaio/SP""}]"
10.1021/np9704617,"[{""collectionSite"": ""Mogi Guacu/SP""}]"
10.1055/s-0028-1088323,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1055/s-0029-1185364,"[{""collectionSite"": ""Pocos De Caldas/MG""}]"
10.1055/s-0034-1368301,"[{""collectionSite"": ""Salvador/BA""}]"
10.1080/14786410600907002,"[{""collectionSite"": ""Campinas/SP""}]"
10.1080/14786410802243271,"[{""collectionSite"": ""Iporanga/SP""}]"
10.1080/14786419.2011.647020,"[{""collectionSite"": ""Ribeirao Preto/SP""}]"
10.1093/mutage/gep034,"[{""collectionSite"": ""Sao Miguel Arcanjo/SP""}]"
10.1107/S1600536803019913,"[{""collectionSite"": ""Manaus/AM""}]"
10.1107/S160053680302107X,"[{""collectionSite"": ""Manaus/AM""}]"
10.1155/2013/835081,"[{""collectionSite"": ""Cunha/SP""}]"
10.1248/bpb.31.538,"[{""collectionSite"": ""Araraquara/SP""}]"
10.1248/cpb.56.407,"[{""collectionSite"": ""Araraquara/SP""}]"
10.1248/cpb.56.723,"[{""collectionSite"": ""Sao Paulo/SP""}]"
10.1515/znb-2005-0715,"[{""collectionSite"": ""Murici/AL""}]"
10.1515/znc-2002-5-602,"[{""collectionSite"": ""Londrina/PR""}]"
10.1515/znc-2002-5-602,"[{""collectionSite"": ""Londrina/PR""}]"
10.1515/znc-2008-5-611,"[{""collectionSite"": ""Pocos De Caldas/MG""}]"
10.1515/znc-2009-11-1212,"[{""collectionSite"": ""Mogi Guacu/SP""}]"
10.1515/znc-2011-5-607,"[{""collectionSite"": ""Vicosa/MG""}]"
10.1590/S0073-47212009000100009,"[{""collectionSite"": ""Rio Claro/SP""}]"
10.1590/S0100-40421998000600005,"[{""collectionSite"": ""Santarem/PA""}]"
10.1590/S0100-40422002000300002,"[{""collectionSite"": ""Mogi Guacu/SP""}]"
10.1590/S0100-40422004000200005,"[{""collectionSite"": ""Cunha/SP""}]"
10.1590/S0100-40422005000600011,"[{""collectionSite"": ""Mogi Guacu/SP""}]"
10.1590/S0100-40422006000300016,"[{""collectionSite"": ""Ibate/SP""}]"
10.1590/S0100-40422008000400005,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1590/S0100-40422008000400005,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1590/S0100-40422008000400005,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1590/S0100-40422008000400018,"[{""collectionSite"": ""Sao Paulo/SP""}]"
10.1590/S0100-40422008000400023,"[{""collectionSite"": ""Iguape/SP""}]"
10.1590/s0100-40422008000700015,"[{""collectionSite"": ""Ribeirao Preto/SP""}]"
10.1590/S0100-40422010000900005,"[{""collectionSite"": ""Piracicaba/SP""}]"
10.1590/S0100-40422012000700020,"[{""collectionSite"": ""Anapolis/GO""}]"
10.1590/S0102-695X2007000300003,"[{""collectionSite"": ""Iguape/SP""}]"
10.1590/S0102-695X2008000200010,"[{""collectionSite"": ""Lavras/MG""}]"
10.1590/S0102-695X2010000100002,"[{""collectionSite"": ""Sao Paulo/SP""}]"
10.1590/S0102-695X2010005000017,"[{""collectionSite"": ""Sao Paulo/SP""}]"
10.1590/S0102-695X2012005000106,"[{""collectionSite"": ""Ribeirao Preto/SP""}]"
10.1590/S0103-50532002000100010,"[{""collectionSite"": ""Ibirama/SC""}]"
10.1590/S0103-50532002000100019,"[{""collectionSite"": ""Rio Claro/SP""}]"
10.1590/S0103-50532003000500012,"[{""collectionSite"": ""Belem/PA""}]"
10.1590/S0103-50532005000400005,"[{""collectionSite"": ""Iguape/SP""}]"
10.1590/S0103-50532005000400031,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1590/S0103-50532005000800008,"[{""collectionSite"": ""Belem/PA""}]"
10.1590/S0103-50532005000800018,"[{""collectionSite"": ""Araraquara/SP""}]"
10.1590/S0103-50532005000800025,"[{""collectionSite"": ""Ibirama/SC""}]"
10.1590/S0103-50532005000800026,"[{""collectionSite"": ""Corumba/MS""}]"
10.1590/S0103-50532005000800029,"[{""collectionSite"": ""Araraquara/SP""}]"
10.1590/S0103-50532006000300017,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1590/S0103-50532006000300017,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1590/S0103-50532009000100029,"[{""collectionSite"": ""Ribeirao Preto/SP""}]"
10.1590/S0103-50532009000400008,"[{""collectionSite"": ""Campinas/SP""}]"
10.1590/S0103-50532010000500016,"[{""collectionSite"": ""Jatai/GO""}]"
10.1590/S1519-566X2008000600013,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.2174/187152010794728620,"[{""collectionSite"": ""Vicosa/MG""}]"
10.3390/molecules15129205,"[{""collectionSite"": ""Sao Paulo/SP""}]"
10.3390/molecules190812031,"[{""collectionSite"": ""Itacoatiara/AM""}]"
10.4067/S0717-97072009000300004,"[{""collectionSite"": ""Sao Paulo/SP""}]"
10.5935/0100-4042.20140049,"[{""collectionSite"": ""Pirenopolis/GO""}]"
10.5935/0103-5053.19930018,"[{""collectionSite"": ""Sao Paulo/SP""}]"
