doi,assistant_reply
10.1016/j.phytochem.2004.03.039,"[{""compoundName"": ""22β-hydroxypristimerin""}]"
10.1016/j.phytochem.2004.03.039,"[{""compoundName"": ""22β-hydroxypristimerin""}]"
10.1016/j.phytochem.2004.03.039,"[{""compoundName"": ""22β-hydroxypristimerin""}]"
10.1016/j.phytochem.2004.03.039,"[{""compoundName"": ""22β-hydroxypristimerin""}]"
10.1016/j.phytochem.2005.04.043,"[{""compoundName"": ""(2R)-2,3-dihydro-2-methyl-5-methoxy-benzopyran-4-one""}]"
10.1016/j.phytochem.2005.04.043,"[{""compoundName"": ""(2R)-2,3-dihydro-2-methyl-5-methoxy-benzopyran-4-one""}]"
10.1016/j.phytochem.2005.06.019,"[{""compoundName"": ""Hydrangeifolin I""}]"
10.1016/j.phytochem.2006.06.004,"[{""compoundName"": ""3,11,12-trihydroxycadalene""}]"
10.1016/j.phytochem.2006.06.004,"[{""compoundName"": ""3,11,12-trihydroxycadalene""}]"
10.1016/j.phytochem.2006.06.004,"[{""compoundName"": ""3,11,12-trihydroxycadalene""}]"
10.1016/j.phytochem.2006.06.004,"[{""compoundName"": ""3,11,12-trihydroxycadalene""}]"
10.1016/j.phytochem.2006.09.005,"[{""compoundName"": ""2,4-dihydroxy-6-[(10E,30E)-penta-10,30-dienyl]-benzaldehyde""}]"
10.1016/j.phytochem.2006.09.005,"[{""compoundName"": ""2,4-dihydroxy-6-[(10E,30E)-penta-10,30-dienyl]-benzaldehyde""}]"
10.1016/j.phytochem.2007.08.012,"[{""compoundName"": ""rel-(7R,8S,7'S,8'S)-4,5,4',5'-dimethylenedioxy-3,3'-dimethoxy-7,7'-epoxylignan""}]"
10.1016/j.phytochem.2007.08.012,"[{""compoundName"": ""rel-(7R,8S,7'S,8'S)-4,5,4',5'-dimethylenedioxy-3,3'-dimethoxy-7,7'-epoxylignan""}]"
10.1016/j.phytochem.2007.08.012,"[{""compoundName"": ""rel-(7R,8S,7'S,8'S)-4,5,4',5'-dimethylenedioxy-3,3'-dimethoxy-7,7'-epoxylignan""}]"
10.1016/j.phytochem.2007.08.012,"[{""compoundName"": ""rel-(7R,8S,7'S,8'S)-4,5,4',5'-dimethylenedioxy-3,3'-dimethoxy-7,7'-epoxylignan""}]"
10.1016/j.phytochem.2007.08.012,"[{""compoundName"": ""rel-(7R,8S,7'S,8'S)-4,5,4',5'-dimethylenedioxy-3,3'-dimethoxy-7,7'-epoxylignan""}]"
10.1016/j.phytochem.2008.01.006,"[{""compoundName"": ""Pterogynoside""}]"
10.1016/j.phytochem.2008.01.006,"[{""compoundName"": ""Pterogynoside""}]"
10.1016/j.phytochem.2008.01.006,"[{""compoundName"": ""Pterogynoside""}]"
10.1016/j.phytochem.2008.01.006,"[{""compoundName"": ""Pterogynoside""}]"
10.1016/j.phytochem.2009.08.013,"[{""compoundName"": ""Methyl angolensate""}]"
10.1016/j.phytol.2010.11.003,"[{""compoundName"": ""(3R,4R)-4,7-dihydroxymellein""}]"
10.1016/j.phytol.2010.11.003,"[{""compoundName"": ""(3R,4R)-4,7-dihydroxymellein""}]"
10.1016/j.phytol.2010.11.003,"[{""compoundName"": ""(3R,4R)-4,7-dihydroxymellein""}]"
10.1016/j.tiv.2008.01.003,"[{""compoundName"": ""Pristimerin""}]"
10.1016/S0014-5793(02)02700-X,"[{""compoundName"": ""Chalepin""}]"
10.1016/S0031-9422(00)00225-9,"[{""compoundName"": ""5-(3'-hydroxypropyl)-7-methoxy-2-(3',4'-dimethoxyphenyl)benzofuran""}]"
10.1016/S0031-9422(00)00225-9,"[{""compoundName"": ""5-(3'-hydroxypropyl)-7-methoxy-2-(3',4'-dimethoxyphenyl)benzofuran""}]"
10.1016/S0031-9422(00)00225-9,"[{""compoundName"": ""5-(3'-hydroxypropyl)-7-methoxy-2-(3',4'-dimethoxyphenyl)benzofuran""}]"
10.1016/S0031-9422(00)00226-0,"[{""compoundName"": ""N-(12,13,14-trimethoxydihydrocinnamoyl)-3-pyridin-2-one""}]"
10.1016/S0031-9422(00)00226-0,"[{""compoundName"": ""Piperine""}]"
10.1016/S0031-9422(00)00226-0,"[{""compoundName"": ""Piperine""}]"
10.1016/S0031-9422(00)00226-0,"[{""compoundName"": ""Piperine""}]"
10.1016/S0031-9422(00)00226-0,"[{""compoundName"": ""Piperine""}]"
10.1016/S0031-9422(00)00226-0,"[{""compoundName"": ""Piperine""}]"
10.1016/S0031-9422(00)00226-0,"[{""compoundName"": ""Piperine""}]"
10.1016/S0031-9422(00)00226-0,"[{""compoundName"": ""Piperine""}]"
10.1016/S0031-9422(00)00248-X,"[{""compoundName"": ""3',4'-methylenedioxy-5,7-dimethoxyflavone""}]"
10.1016/S0031-9422(00)00248-X,"[{""compoundName"": ""3',4'-methylenedioxy-5,7-dimethoxyflavone""}]"
10.1016/S0031-9422(00)00248-X,"[{""compoundName"": ""3',4'-methylenedioxy-5,7-dimethoxyflavone""}]"
10.1016/S0031-9422(00)00323-X,"[{""compoundName"": ""Mayoside C""}]"
10.1016/S0031-9422(00)00477-5,"[{""compoundName"": ""Atractylenolide III""}]"
10.1016/S0031-9422(00)00477-5,"[{""compoundName"": ""Atractylenolide I""}]"
10.1016/S0031-9422(01)00079-6,"[{""compoundName"": ""Dibenzyl sulphide""}]"
10.1016/S0031-9422(01)00079-6,"[{""compoundName"": ""Dibenzyl sulphide""}]"
10.1016/S0031-9422(01)00079-6,"[{""compoundName"": ""Dibenzyl sulphide""}]"
10.1016/S0031-9422(01)00079-6,"[{""compoundName"": ""Dibenzyl sulphide""}]"
10.1016/S0031-9422(01)00079-6,"[{""compoundName"": ""Dibenzyl sulphide""}]"
10.1016/S0031-9422(01)00431-9,"[{""compoundName"": ""N-[10-(13,14-methylenedioxyphenyl)-7(E),9(Z)-pentadienoyl]-pyrrolidine""}]"
10.1016/S0031-9422(01)00431-9,"[{""compoundName"": ""N-[10-(13,14-methylenedioxyphenyl)-7(E),9(Z)-pentadienoyl]-pyrrolidine""}]"
10.1016/S0031-9422(01)00431-9,"[{""compoundName"": ""N-[10-(13,14-methylenedioxyphenyl)-7(E),9(Z)-pentadienoyl]-pyrrolidine""}]"
10.1016/S0031-9422(01)00431-9,"[{""compoundName"": ""N-[10-(13,14-methylenedioxyphenyl)-7(E),9(Z)-pentadienoyl]-pyrrolidine""}]"
10.1016/S0031-9422(01)00431-9,"[{""compoundName"": ""N-[10-(13,14-methylenedioxyphenyl)-7(E),9(Z)-pentadienoyl]-pyrrolidine""}]"
10.1016/S0031-9422(01)00431-9,"[{""compoundName"": ""N-[10-(13,14-methylenedioxyphenyl)-7(E),9(Z)-pentadienoyl]-pyrrolidine""}]"
10.1016/S0031-9422(03)00153-5,"[{""compoundName"": ""6'-Acetyl-β-D-glucopyranosyldiderroside""}]"
10.1016/S0031-9422(03)00153-5,"[{""compoundName"": ""6'-Acetyl-β-D-glucopyranosyldiderroside""}]"
10.1016/S0031-9422(03)00153-5,"[{""compoundName"": ""6'-Acetyl-β-D-glucopyranosyldiderroside""}]"
10.1016/S0031-9422(97)00238-0,"[{""compoundName"": ""Formosinoside""}]"
10.1016/S0031-9422(97)00238-0,"[{""compoundName"": ""Formosinoside""}]"
10.1016/S0031-9422(97)00238-0,"[{""compoundName"": ""Formosinoside""}]"
10.1016/S0031-9422(97)00598-0,"[{""compoundName"": ""5,7,3',4',5'-pentamethoxyflavanonol""}]"
10.1016/S0031-9422(98)00069-7,"[{""compoundName"": ""Lupeol dihydrocinnamate""}]"
10.1016/S0031-9422(98)00249-0,"[{""compoundName"": ""Casearin T""}]"
10.1016/S0031-9422(98)00249-0,"[{""compoundName"": ""Casearin T""}]"
10.1016/S0031-9422(99)00132-6,"[{""compoundName"": ""3-(3',7'-dimethyl-2',6'-octadienyl)-4-methoxybenzoic acid""}]"
10.1016/S0031-9422(99)00132-6,"[{""compoundName"": ""3-(3',7'-dimethyl-2',6'-octadienyl)-4-methoxybenzoic acid""}]"
10.1021/cc100076k,"[{""compoundName"": ""5,7-Dimethoxy-4'-piperonylflavone""}]"
10.1021/jf00030a035,"[{""compoundName"": ""2-methyl-5-[8(Z),11(Z)-pentadecadienyl]resorcinol""}]"
10.1021/jf00030a035,"[{""compoundName"": ""2-methyl-5-[8(Z),11(Z)-pentadecadienyl]resorcinol""}]"
10.1021/jf00030a035,"[{""compoundName"": ""2-methyl-5-[8(Z),11(Z)-pentadecadienyl]resorcinol""}]"
10.1021/jf00030a035,"[{""compoundName"": ""2-methyl-5-[8(Z),11(Z)-pentadecadienyl]resorcinol""}]"
10.1021/jf00030a035,"[{""compoundName"": ""2-methyl-5-[8(Z),11(Z)-pentadecadienyl]resorcinol""}]"
10.1021/jf00030a035,"[{""compoundName"": ""2-methyl-5-[8(Z),11(Z)-pentadecadienyl]resorcinol""}]"
10.1021/jf00030a035,"[{""compoundName"": ""2-methyl-5-[8(Z),11(Z)-pentadecadienyl]resorcinol""}]"
10.1021/jf00030a035,"[{""compoundName"": ""2-methyl-5-[8(Z),11(Z)-pentadecadienyl]resorcinol""}]"
10.1021/jf00030a035,"[{""compoundName"": ""2-methyl-5-[8(Z),11(Z)-pentadecadienyl]resorcinol""}]"
10.1021/jf00030a035,"[{""compoundName"": ""2-methyl-5-[8(Z),11(Z)-pentadecadienyl]resorcinol""}]"
10.1021/jf063451x,"[{""compoundName"": ""Sargaquinoic acid""}]"
10.1021/jf063451x,"[{""compoundName"": ""Sargaquinoic acid""}]"
10.1021/jf063451x,"[{""compoundName"": ""Sargaquinoic acid""}]"
10.1021/jf063451x,"[{""compoundName"": ""Sargaquinoic acid""}]"
10.1021/jf063451x,"[{""compoundName"": ""Sargaquinoic acid""}]"
10.1021/jf063451x,"[{""compoundName"": ""Sargaquinoic acid""}]"
10.1021/jf063451x,"[{""compoundName"": ""Sargaquinoic acid""}]"
10.1021/jf063451x,"[{""compoundName"": ""Sargaquinoic acid""}]"
10.1021/jf063451x,"[{""compoundName"": ""Sargaquinoic acid""}]"
10.1021/jf100233y,"[{""compoundName"": ""Lauryl gallate""}]"
10.1021/jf100233y,"[{""compoundName"": ""Lauryl gallate""}]"
10.1021/jf60217a066,"[{""compoundName"": ""trans-Anethole""}]"
10.1021/np0103970,"[{""compoundName"": ""(21S,23S)-Epoxy-21α-methoxy-7α,24S,25-trihydroxy-4α,4β,8β,10β-tetramethyl-25-dimethyl-14,18-cyclo-5α,13α,14α,17α-cholestan-3β-N-methylanthranilic acid ester""}]"
10.1021/np0103970,"[{""compoundName"": ""(21S,23S)-Epoxy-21α-methoxy-7α,24S,25-trihydroxy-4α,4β,8β,10β-tetramethyl-25-dimethyl-14,18-cyclo-5α,13α,14α,17α-cholestan-3β-N-methylanthranilic acid ester""}]"
10.1021/np030100t,"[{""compoundName"": ""2-(2'-O-trans-caffeoyl)-C-β-D-glucopyranosyl-1,3,6,7-tetrahydroxyxanthone""}]"
10.1021/np030100t,"[{""compoundName"": ""2-(2'-O-trans-caffeoyl)-C-β-D-glucopyranosyl-1,3,6,7-tetrahydroxyxanthone""}]"
10.1021/np030100t,"[{""compoundName"": ""2-(2'-O-trans-caffeoyl)-C-β-D-glucopyranosyl-1,3,6,7-tetrahydroxyxanthone""}]"
10.1021/np030100t,"[{""compoundName"": ""2-(2'-O-trans-caffeoyl)-C-β-D-glucopyranosyl-1,3,6,7-tetrahydroxyxanthone""}]"
10.1021/np030100t,"[{""compoundName"": ""2-(2'-O-trans-caffeoyl)-C-β-D-glucopyranosyl-1,3,6,7-tetrahydroxyxanthone""}]"
10.1021/np0303963,"[{""compoundName"": ""(-)-7-hydroxyspectaline""}]"
10.1021/np030530j,"[{""compoundName"": ""Methyl 4-hydroxy-3-(2',3'-dihydroxy-3'-methylbutyl)benzoate""}]"
10.1021/np030530j,"[{""compoundName"": ""Methyl 4-hydroxy-3-(2',3'-dihydroxy-3'-methylbutyl)benzoate""}]"
10.1021/np030530j,"[{""compoundName"": ""Methyl 4-hydroxy-3-(2',3'-dihydroxy-3'-methylbutyl)benzoate""}]"
10.1021/np030530j,"[{""compoundName"": ""Methyl 4-hydroxy-3-(2',3'-dihydroxy-3'-methylbutyl)benzoate""}]"
10.1021/np030530j,"[{""compoundName"": ""Methyl 4-hydroxy-3-(2',3'-dihydroxy-3'-methylbutyl)benzoate""}]"
10.1021/np030530j,"[{""compoundName"": ""Methyl 4-hydroxy-3-(2',3'-dihydroxy-3'-methylbutyl)benzoate""}]"
10.1021/np030530j,"[{""compoundName"": ""Methyl 4-hydroxy-3-(2',3'-dihydroxy-3'-methylbutyl)benzoate""}]"
10.1021/np030530j,"[{""compoundName"": ""Methyl 4-hydroxy-3-(2',3'-dihydroxy-3'-methylbutyl)benzoate""}]"
10.1021/np030530j,"[{""compoundName"": ""Methyl 4-hydroxy-3-(2',3'-dihydroxy-3'-methylbutyl)benzoate""}]"
10.1021/np049863m,"[{""compoundName"": ""Turbinatine""}]"
10.1021/np049863m,"[{""compoundName"": ""Turbinatine""}]"
10.1021/np049863m,"[{""compoundName"": ""Turbinatine""}]"
10.1021/np049863m,"[{""compoundName"": ""Turbinatine""}]"
10.1021/np049863m,"[{""compoundName"": ""Turbinatine""}]"
10.1021/np049863m,"[{""compoundName"": ""Turbinatine""}]"
10.1021/np049863m,"[{""compoundName"": ""Turbinatine""}]"
10.1021/np060254j,"[{""compoundName"": ""(+)-Erythravine""}]"
10.1021/np060254j,"[{""compoundName"": ""(+)-Erythravine""}]"
10.1021/np070312g,"[{""compoundName"": ""(-)-3-O-acetylspectaline""}]"
10.1021/np1007476,"[{""compoundName"": ""Chimarrhinin""}]"
10.1021/np1007476,"[{""compoundName"": ""Chimarrhinin""}]"
10.1021/np100840w,"[{""compoundName"": ""2,6-di-O-acetylcasearupestrin D""}]"
10.1021/np100840w,"[{""compoundName"": ""2,6-di-O-acetylcasearupestrin D""}]"
10.1021/np100840w,"[{""compoundName"": ""2,6-di-O-acetylcasearupestrin D""}]"
10.1021/np100840w,"[{""compoundName"": ""2,6-di-O-acetylcasearupestrin D""}]"
10.1021/np4006822,"[{""compoundName"": ""Mycoleptone A""}]"
10.1021/np4006822,"[{""compoundName"": ""Mycoleptone A""}]"
10.1021/np4006822,"[{""compoundName"": ""Mycoleptone A""}]"
10.1021/np4006822,"[{""compoundName"": ""Mycoleptone A""}]"
10.1021/np4006822,"[{""compoundName"": ""Mycoleptone A""}]"
10.1021/np4006822,"[{""compoundName"": ""Mycoleptone A""}]"
10.1021/np4006822,"[{""compoundName"": ""Mycoleptone A""}]"
10.1021/np500453x,"[{""compoundName"": ""1-(5,7-dihydroxy-2,2-dimethylchroman-6-yl)-3-(1,1,4a-trimethyl-2,3,4,4a,9a-hexahydro-1H-xanthen-7-yl)propan-1-one""}]"
10.1021/np500453x,"[{""compoundName"": ""1-(5,7-dihydroxy-2,2-dimethylchroman-6-yl)-3-(1,1,4a-trimethyl-2,3,4,4a,9a-hexahydro-1H-xanthen-7-yl)propan-1-one""}]"
10.1021/np500453x,"[{""compoundName"": ""1-(5,7-dihydroxy-2,2-dimethylchroman-6-yl)-3-(1,1,4a-trimethyl-2,3,4,4a,9a-hexahydro-1H-xanthen-7-yl)propan-1-one""}]"
10.1021/np50086a012,"[{""compoundName"": ""Cusculine""}]"
10.1021/np800106x,"[{""compoundName"": ""6R-malonyloxymanoyl oxide""}]"
10.1021/np800106x,"[{""compoundName"": ""6R-malonyloxymanoyl oxide""}]"
10.1021/np800106x,"[{""compoundName"": ""6R-malonyloxymanoyl oxide""}]"
10.1021/np800612x,"[{""compoundName"": ""Nitensidine E""}]"
10.1021/np800612x,"[{""compoundName"": ""Nitensidine E""}]"
10.1021/np9004079,"[{""compoundName"": ""rel-2R-hydroxyzuelanin-6-benzoate""}]"
10.1021/np9004079,"[{""compoundName"": ""rel-6-hydroxyzuelanin-2-benzoate""}]"
10.1021/np9004079,"[{""compoundName"": ""rel-6-hydroxyzuelanin-2-benzoate""}]"
10.1021/np9004079,"[{""compoundName"": ""rel-6-hydroxyzuelanin-2-benzoate""}]"
10.1021/np900644x,"[{""compoundName"": ""12'-hydroxy-7'-multijuguinone""}]"
10.1021/np900644x,"[{""compoundName"": ""12'-hydroxy-7'-multijuguinone""}]"
10.1021/np9703656,"[{""compoundName"": ""N-[2-(3',4'-methylenedioxy, 6-methoxyphenyl)-2(Z)-propenoyl]-pyrrolidine""}]"
10.1021/np9704617,"[{""compoundName"": ""Trachelosperoside B-1""}]"
10.1055/s-0028-1088323,"[{""compoundName"": ""Odoratol""}]"
10.1055/s-0028-1088323,"[{""compoundName"": ""Odoratol""}]"
10.1055/s-0028-1088323,"[{""compoundName"": ""Odoratol""}]"
10.1055/s-0028-1088323,"[{""compoundName"": ""Odoratol""}]"
10.1055/s-0028-1088323,"[{""compoundName"": ""Odoratol""}]"
10.1055/s-0028-1088323,"[{""compoundName"": ""Odoratol""}]"
10.1055/s-0028-1088323,"[{""compoundName"": ""Odoratol""}]"
10.1055/s-0028-1088323,"[{""compoundName"": ""Odoratol""}]"
10.1055/s-0029-1185364,"[{""compoundName"": ""Clusifoliol""}]"
10.1055/s-0029-1185364,"[{""compoundName"": ""Clusifoliol""}]"
10.1055/s-0029-1185364,"[{""compoundName"": ""Clusifoliol""}]"
10.1055/s-0029-1185364,"[{""compoundName"": ""Clusifoliol""}]"
10.1055/s-0034-1368301,"[{""compoundName"": ""(22E,24R)-8,14-epoxyergosta-4,22-diene-3,6-dione""}]"
10.1055/s-2002-36346,"[{""compoundName"": ""3-O-caffeoylquinic acid""}]"
10.1080/14786410412331271979,"[{""compoundName"": ""Homoegonol""}]"
10.1080/14786410412331271979,"[{""compoundName"": ""Homoegonol""}]"
10.1080/14786410412331271979,"[{""compoundName"": ""Homoegonol""}]"
10.1080/14786410600907002,"[{""compoundName"": ""Severine acetate""}]"
10.1080/14786410600907002,"[{""compoundName"": ""Severine acetate""}]"
10.1080/14786410802243271,"[{""compoundName"": ""4-hydroxy-3-(3',7'-dimethyl-3'-hydroxy-1'-oxo-6'-octenyl)benzoic acid""}]"
10.1080/14786410802243271,"[{""compoundName"": ""4-hydroxy-3-(3',7'-dimethyl-3'-hydroxy-1'-oxo-6'-octenyl)benzoic acid""}]"
10.1080/14786410802243271,"[{""compoundName"": ""4-hydroxy-3-(3',7'-dimethyl-3'-hydroxy-1'-oxo-6'-octenyl)benzoic acid""}]"
10.1080/14786410802243271,"[{""compoundName"": ""4-hydroxy-3-(3',7'-dimethyl-3'-hydroxy-1'-oxo-6'-octenyl)benzoic acid""}]"
10.1080/14786410802243271,"[{""compoundName"": ""4-hydroxy-3-(3',7'-dimethyl-3'-hydroxy-1'-oxo-6'-octenyl)benzoic acid""}]"
10.1080/14786410903335232,"[{""compoundName"": ""Isobutyl gallate""}]"
10.1080/14786410903335232,"[{""compoundName"": ""Isobutyl gallate""}]"
10.1080/14786410903335232,"[{""compoundName"": ""Isobutyl gallate""}]"
10.1080/14786410903335232,"[{""compoundName"": ""Isobutyl gallate""}]"
10.1080/14786419.2011.647020,"[{""compoundName"": ""3-(2-(4-hydroxyphenyl)-2-oxoethyl)-5,6-dihydropyridin-2(1H)-one""}]"
10.1107/S1600536803019913,"[{""compoundName"": ""Skimmianine""}]"
10.1155/2013/835081,"[{""compoundName"": ""Urauchimycin A""}]"
10.1248/bpb.31.538,"[{""compoundName"": ""(2S)-Methyl-8-isopentyl-2-methyl-2-(4-methylpentyl)chroman-6-carboxylate""}]"
10.1248/bpb.31.538,"[{""compoundName"": ""(2S)-Methyl-8-isopentyl-2-methyl-2-(4-methylpentyl)chroman-6-carboxylate""}]"
10.1248/bpb.31.538,"[{""compoundName"": ""(2S)-Methyl-8-isopentyl-2-methyl-2-(4-methylpentyl)chroman-6-carboxylate""}]"
10.1248/bpb.31.538,"[{""compoundName"": ""(2S)-Methyl-8-isopentyl-2-methyl-2-(4-methylpentyl)chroman-6-carboxylate""}]"
10.1248/bpb.31.538,"[{""compoundName"": ""(2S)-Methyl-8-isopentyl-2-methyl-2-(4-methylpentyl)chroman-6-carboxylate""}]"
10.1248/bpb.31.538,"[{""compoundName"": ""(2S)-Methyl-8-isopentyl-2-methyl-2-(4-methylpentyl)chroman-6-carboxylate""}]"
10.1248/bpb.31.538,"[{""compoundName"": ""(2S)-Methyl-8-isopentyl-2-methyl-2-(4-methylpentyl)chroman-6-carboxylate""}]"
10.1248/bpb.31.538,"[{""compoundName"": ""(2S)-Methyl-8-isopentyl-2-methyl-2-(4-methylpentyl)chroman-6-carboxylate""}]"
10.1248/cpb.56.723,"[{""compoundName"": ""Sorbifolin 6-O-β-glucopyranoside""}]"
10.1248/cpb.56.723,"[{""compoundName"": ""Sorbifolin 6-O-β-glucopyranoside""}]"
10.1248/cpb.56.723,"[{""compoundName"": ""Sorbifolin 6-O-β-glucopyranoside""}]"
10.1248/cpb.56.723,"[{""compoundName"": ""Sorbifolin 6-O-β-glucopyranoside""}]"
10.1248/cpb.56.723,"[{""compoundName"": ""Sorbifolin 6-O-β-glucopyranoside""}]"
10.1515/znb-2005-0715,"[{""compoundName"": ""Platydesmine""}]"
